A_gate_identity,A_gate_kappa,C_lock_identity,C_lock_kappa,C_lock_max_worst,C_lock_worst,P_norm_identity,P_norm_kappa,QP_balance_identity,QP_balance_kappa,QP_balance_min,Q_norm_identity,Q_norm_kappa,beta2_opening_identity,beta2_opening_kappa,candidate_id_identity,candidate_id_kappa,candidate_pair_key,cascade_index,comm_abs_area_identity,comm_abs_area_kappa,decision_used_delta_beta,delta_beta2_identity,delta_beta2_kappa,directed_imbalance_avg,directed_imbalance_identity,directed_imbalance_kappa,event_t,kappa_pareto_score,move_class_identity,move_class_kappa,passes_A_gate_both,passes_C_lock_worst,passes_QP_proxy,passes_all_including_beta2_audit,passes_all_kappa_pareto_gate,passes_beta2_audit_both,passes_kappa_signed_flip,scan_id,selected_A_identity,selected_A_kappa,signed_amplitude_avg,signed_amplitude_balance_zero_if_equal,signed_amplitude_min,signed_birth_identity,signed_birth_kappa,signed_flip_abs,signed_flip_score_zero_if_perfect,transport_cosine_identity,transport_cosine_kappa,transverse_complementarity_avg,transverse_complementarity_identity,transverse_complementarity_kappa,variant
True,True,0.09118930583827459,0.18654365237465342,0.18654365237492018,0.18654365237465342,2.685010502253396,1.4598764198232226,0.40543334109763723,0.5827618750425988,0.40543334109763723,1.0885927788112448,0.8507603197472401,False,False,214,224,handle_candidate|3 4 5|10 11 12,1,0.2654251750918837,0.2895851947999306,False,0,0,0.265945149341554,0.265945149341554,0.265945149341554,12,0.12471148050295758,handle_candidate,handle_candidate,True,True,True,False,True,False,True,6,False,False,0.28027288779126497,0.02905571670802118,0.27212935816264844,0.2884164174198815,-0.27212935816264844,0.02905571670802118,0.02905571670802118,-0.984822750935204,-0.7721273764668718,0.28373420098680285,0.28373420098680285,0.28373420098680285,real_growth
True,True,0.13800603779333703,0.7751110051022306,0.7751110051022474,0.7751110051022306,1.9332642228736154,1.9386359759793634,0.9785449268971228,0.8220582449225395,0.8220582449225395,1.8917858976456636,1.593671687958112,True,True,50,50,handle_candidate|0 1 2|3 4 5,1,0.6568372405196964,1.5130590873260656,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,7,1.4998578369429828e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,1,False,False,0.29005677093258614,0.2960768308326005,0.20417768143318046,-0.20417768143318046,-0.37593586043199184,0.9999999999982763,-0.9999999999982763,-0.06027679987050255,-0.19737328492491452,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,0.13800603779333703,0.7751110051022306,0.7751110051022474,0.7751110051022306,1.9332642228736154,1.9386359759793634,0.9785449268971228,0.8220582449225395,0.8220582449225395,1.8917858976456636,1.593671687958112,True,True,74,72,handle_candidate|0 1 2|3 4 5,1,0.6568372405196964,1.5130590873260656,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,8,1.4998578369429828e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,2,False,False,0.29005677093258614,0.2960768308326005,0.20417768143318046,-0.20417768143318046,-0.37593586043199184,0.9999999999982763,-0.9999999999982763,-0.06027679987050255,-0.19737328492491452,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,0.13800603779333703,0.7751110051022306,0.7751110051022474,0.7751110051022306,1.9332642228736154,1.9386359759793634,0.9785449268971228,0.8220582449225395,0.8220582449225395,1.8917858976456636,1.593671687958112,True,True,102,98,handle_candidate|0 1 2|3 4 5,1,0.6568372405196964,1.5130590873260656,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,9,1.4998578369429828e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,3,False,False,0.29005677093258614,0.2960768308326005,0.20417768143318046,-0.20417768143318046,-0.37593586043199184,0.9999999999982763,-0.9999999999982763,-0.06027679987050255,-0.19737328492491452,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,0.13800603779333703,0.7751110051022306,0.7751110051022474,0.7751110051022306,1.9332642228736154,1.9386359759793634,0.9785449268971228,0.8220582449225395,0.8220582449225395,1.8917858976456636,1.593671687958112,True,True,130,128,handle_candidate|0 1 2|3 4 5,1,0.6568372405196964,1.5130590873260656,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,10,1.4998578369429828e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,4,False,False,0.29005677093258614,0.2960768308326005,0.20417768143318046,-0.20417768143318046,-0.37593586043199184,0.9999999999982763,-0.9999999999982763,-0.06027679987050255,-0.19737328492491452,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,0.13800603779333703,0.7751110051022306,0.7751110051022474,0.7751110051022306,1.9332642228736154,1.9386359759793634,0.9785449268971228,0.8220582449225395,0.8220582449225395,1.8917858976456636,1.593671687958112,True,True,168,162,handle_candidate|0 1 2|3 4 5,1,0.6568372405196964,1.5130590873260656,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,11,1.4998578369429828e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,5,False,False,0.29005677093258614,0.2960768308326005,0.20417768143318046,-0.20417768143318046,-0.37593586043199184,0.9999999999982763,-0.9999999999982763,-0.06027679987050255,-0.19737328492491452,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,0.13800603779333703,0.7751110051022306,0.7751110051022474,0.7751110051022306,1.9332642228736154,1.9386359759793634,0.9785449268971228,0.8220582449225395,0.8220582449225395,1.8917858976456636,1.593671687958112,True,True,184,178,handle_candidate|0 1 2|3 4 5,1,0.6568372405196964,1.5130590873260656,False,2,2,0.47978443481550515,0.47978443481550515,0.47978443481550515,12,1.4998578369429828e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,6,False,False,0.29005677093258614,0.2960768308326005,0.20417768143318046,-0.20417768143318046,-0.37593586043199184,0.9999999999982763,-0.9999999999982763,-0.06027679987050255,-0.19737328492491452,0.33612090443309484,0.33612090443309484,0.33612090443309484,real_growth
True,True,0.026203674331904146,0.27197526549581896,0.27197526549582157,0.27197526549581896,1.1919267924378252,1.3301598851114984,0.8128059317911301,0.4628348245186937,0.4628348245186937,1.4664346627127056,2.873940798413951,True,True,136,130,handle_candidate|0 2 3|7 8 10,1,0.5126485943666904,1.000514699701175,False,1,1,0.5445693648698812,0.5445693648698812,0.5445693648698812,10,1.6238617033063142e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,4,True,True,0.3058945771739801,0.5208769629858246,0.14656113882150393,-0.46522801552645626,-0.14656113882150393,0.9999999999983655,-0.9999999999983655,0.3352710692839186,0.8511847918193568,0.3434960465837576,0.3434960465837576,0.3434960465837576,real_growth
True,True,0.026203674331904146,0.27197526549581896,0.27197526549582157,0.27197526549581896,1.1919267924378252,1.3301598851114984,0.8128059317911301,0.4628348245186937,0.4628348245186937,1.4664346627127056,2.873940798413951,True,True,174,164,handle_candidate|0 2 3|7 8 10,1,0.5126485943666904,1.000514699701175,False,1,1,0.5445693648698812,0.5445693648698812,0.5445693648698812,11,1.6238617033063142e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,5,False,False,0.3058945771739801,0.5208769629858246,0.14656113882150393,-0.46522801552645626,-0.14656113882150393,0.9999999999983655,-0.9999999999983655,0.3352710692839186,0.8511847918193568,0.3434960465837576,0.3434960465837576,0.3434960465837576,real_growth
True,True,0.026203674331904146,0.27197526549581896,0.27197526549582157,0.27197526549581896,1.1919267924378252,1.3301598851114984,0.8128059317911301,0.4628348245186937,0.4628348245186937,1.4664346627127056,2.873940798413951,True,True,190,180,handle_candidate|0 2 3|7 8 10,1,0.5126485943666904,1.000514699701175,False,1,1,0.5445693648698812,0.5445693648698812,0.5445693648698812,12,1.6238617033063142e-13,handle_candidate,handle_candidate,True,False,True,False,False,True,False,6,False,False,0.3058945771739801,0.5208769629858246,0.14656113882150393,-0.46522801552645626,-0.14656113882150393,0.9999999999983655,-0.9999999999983655,0.3352710692839186,0.8511847918193568,0.3434960465837576,0.3434960465837576,0.3434960465837576,real_growth
True,True,0.2396372242393428,0.4626884606844316,0.46268846068445535,0.4626884606844316,1.4304854539329042,2.4092978968549703,0.8270788307385523,0.9645799413202515,0.8270788307385523,1.1831242366281607,2.497769022188376,False,False,144,134,handle_candidate|0 1 2|7 8 10,1,0.41218169181875086,2.790730674347331,False,0,0,0.4054451501442216,0.4054451501442216,0.4054451501442216,10,2.4285770480433227e-13,handle_candidate,handle_candidate,True,False,True,False,False,False,False,4,False,False,0.37946715309066165,0.18652268917654627,0.30868791924193,-0.4502463869393933,-0.30868791924193,0.9999999999986824,-0.9999999999986824,-0.36506117818982736,0.038861309500527276,0.3146960745010587,0.3146960745010587,0.3146960745010587,real_growth
